Date,Open,High,Low,Close,Adj Close,Volume
2016-03-16,7.835,8.174167,7.835,8.106667,8.089932,44114400
2016-03-17,8.045,8.155833,7.950833,8.083333,8.066648,31876800
2016-03-18,8.15,8.198333,8.009167,8.13,8.113217,36884400
2016-03-21,8.095,8.254167,8.079167,8.226667,8.209685,34002000
2016-03-22,8.093333,8.3625,8.085833,8.3,8.282866,31803600
2016-03-23,8.255833,8.274167,8.045833,8.1025,8.085774,38613600
2016-03-24,7.970833,8.115,7.941667,8.1,8.08328,31755600
2016-03-28,8.181667,8.183333,8.031667,8.070833,8.054173,32346000
2016-03-29,8.026667,8.475,7.9875,8.456667,8.439211,44948400
2016-03-30,8.610833,8.7425,8.528333,8.583333,8.565616,52471200
2016-03-31,8.564167,8.66,8.505833,8.533333,8.515718,29630400
2016-04-01,8.403333,8.8275,8.355833,8.8175,8.799297,40755600
2016-04-04,8.804167,8.833333,8.655833,8.708333,8.690357,34158000
2016-04-05,8.509167,8.61,8.43,8.474167,8.456674,36710400
2016-04-06,8.5,8.886667,8.491667,8.88,8.86167,45522000
2016-04-07,8.729167,8.7725,8.385833,8.496667,8.479128,63056400
2016-04-08,8.650833,8.710833,8.388333,8.476667,8.459168,41560800
2016-04-11,8.586667,8.7125,8.379167,8.385833,8.368523,34264800
2016-04-12,8.401667,8.64,8.245,8.581667,8.563952,45606000
2016-04-13,8.790833,8.959167,8.755833,8.916667,8.898261,40545600
2016-04-14,8.919167,9.020833,8.8525,8.9225,8.904081,27810000
2016-04-15,8.893333,8.956667,8.786667,8.854167,8.83589,20773200
2016-04-18,8.780833,9.003333,8.763333,8.985,8.966453,25365600
2016-04-19,9.075,9.083333,8.6875,8.83,8.811773,39645600
2016-04-20,8.818333,8.970833,8.736667,8.851667,8.833395,26942400
2016-04-21,8.846667,8.946667,8.734167,8.854167,8.83589,33368400
2016-04-22,8.514167,8.629167,8.248333,8.453333,8.435883,50330400
2016-04-25,8.360833,8.451667,8.3275,8.446667,8.429231,24237600
2016-04-26,8.495833,8.5475,8.251667,8.330833,8.313636,27328800
2016-04-27,8.078333,8.1825,7.921667,8.130833,8.114048,45751200
2016-04-28,8.1575,8.2975,7.786667,7.8425,7.826311,40192800
2016-04-29,7.815833,7.88,7.525,7.7175,7.701569,47815200
2016-05-02,7.765833,7.9575,7.670833,7.921667,7.905315,29504400
2016-05-03,7.755833,7.86,7.64,7.710833,7.694916,36490800
2016-05-04,7.569167,7.6475,7.498333,7.558333,7.542731,38786400
2016-05-05,7.63,7.686667,7.500833,7.554167,7.538573,35994000
2016-05-06,7.433333,7.67,7.4125,7.663333,7.647513,39212400
2016-05-09,7.670833,7.835833,7.66,7.730833,7.714874,29635200
2016-05-10,7.813333,8.06,7.773333,8.055,8.038373,29120400
2016-05-11,8.015833,8.086667,7.823333,7.835,7.818827,31766400
2016-05-12,7.896667,7.910833,7.563333,7.725,7.709054,46185600
2016-05-13,7.72,7.846667,7.595833,7.631667,7.615913,38991600
2016-05-16,7.6625,8.01,7.654167,7.925833,7.909472,29323200
2016-05-17,7.916667,7.9725,7.565833,7.621667,7.605934,46807200
2016-05-18,7.579167,7.8325,7.526667,7.708333,7.692421,59492400
2016-05-19,7.614167,7.678333,7.420833,7.586667,7.571006,63524400
2016-05-20,7.679167,7.93,7.665833,7.84,7.823816,31338000
2016-05-23,7.86,7.948333,7.785833,7.801667,7.785563,21732000
2016-05-24,7.935833,8.304167,7.93,8.279167,8.262077,37501200
2016-05-25,8.374167,8.529167,8.3275,8.4575,8.440042,35211600
2016-05-26,8.485833,8.559167,8.418333,8.528333,8.510728,23817600
2016-05-27,8.5425,8.663333,8.541667,8.656667,8.638797,26785200
2016-05-31,8.704167,8.749167,8.579167,8.708333,8.690357,28237200
2016-06-01,8.629167,8.7675,8.605833,8.711667,8.693684,25134000
2016-06-02,8.6525,8.765833,8.516667,8.760833,8.742749,26164800
2016-06-03,8.710833,8.726667,8.471667,8.640833,8.622995,38882400
2016-06-06,8.68,8.8025,8.643333,8.733333,8.715304,21499200
2016-06-07,8.761667,8.775,8.655,8.671667,8.653767,19276800
2016-06-08,8.719167,8.765,8.616667,8.71,8.692019,20565600
2016-06-09,8.605833,8.6975,8.555833,8.671667,8.653767,24932400
2016-06-10,8.438333,8.481667,8.285833,8.38,8.362701,40440000
2016-06-13,8.239167,8.370833,8.133333,8.165,8.148145,29762400
2016-06-14,8.098333,8.249167,7.983333,8.169167,8.152304,35432400
2016-06-15,8.2225,8.249167,8.050833,8.095833,8.079121,26594400
2016-06-16,7.976667,8.185833,7.815,8.154167,8.137334,41090400
2016-06-17,8.120833,8.120833,7.820833,7.875,7.858744,41755200
2016-06-20,8.1575,8.260833,8.005,8.016667,8.000118,34810800
2016-06-21,8.065833,8.1475,8.009167,8.096667,8.079954,21603600
2016-06-22,8.12,8.254167,8.020833,8.044167,8.027561,25824000
2016-06-23,8.230833,8.386667,8.129167,8.383333,8.366028,32139600
2016-06-24,7.5,7.8625,7.3,7.356667,7.341481,81375600
