,Date,Open,High,Low,Close,Adj Close,Volume
34,2021-01-06,307,311.880005,305.980011,307.540009,306.456451,52809600
35,2021-01-07,310.279999,315.839996,310.25,314.980011,313.870209,30394800
36,2021-01-08,317.339996,319.390015,315.079987,319.029999,317.905914,33955800
37,2021-01-11,315.980011,317.190002,313.75,314.420013,313.312195,32746400
38,2021-01-12,314.459991,315.579987,311.200012,313.920013,312.813934,29266800
39,2021-01-13,314.190002,316.859985,313.570007,316.040009,314.926483,22898400
40,2021-01-14,316.5,317.529999,313.859985,314.350006,313.242432,23500100
41,2021-01-15,314.130005,315.119995,310.579987,311.859985,310.7612,35118700
42,2021-01-19,314.25,316.929993,313.119995,316.410004,315.295197,24537000
43,2021-01-20,320.140015,324.73999,316.51001,323.769989,322.629211,30728100
44,2021-01-21,325.149994,327.130005,323.730011,326.359985,325.210083,25130600
45,2021-01-22,325.290009,326.459991,324.709991,325.420013,324.273438,21609400
46,2021-01-25,328.910004,330.320007,321.410004,328.109985,326.953949,39080600
47,2021-01-26,328.850006,329.76001,327.220001,328.589996,327.432251,25498100
48,2021-01-27,326.26001,326.269989,317.359985,319.429993,318.304504,55264000
49,2021-01-28,320.670013,326.420013,320.029999,321.320007,320.187897,42836300
50,2021-01-29,319.579987,320.720001,312.76001,314.559998,313.451691,55259000
51,2021-02-01,318.109985,323.540009,316.019989,322.420013,321.284027,35646000
52,2021-02-02,325.480011,328.869995,325.309998,327.679993,326.525452,33930800
53,2021-02-03,329.820007,330.200012,326.320007,326.380005,325.230042,24824500
54,2021-02-04,327.820007,330.329987,326.459991,330.23999,329.076447,22350900
55,2021-02-05,331.220001,332.399994,329.529999,331.359985,330.192444,22732000
56,2021-02-08,333.100006,333.73999,331.410004,333.579987,332.404663,20462800
57,2021-02-09,332.619995,334.809998,332.609985,333.51001,332.334961,17597500
58,2021-02-10,334.98999,335.459991,329.5,332.75,331.577606,28068700
59,2021-02-11,334.329987,335,332.119995,334.579987,333.401123,22046100
60,2021-02-12,333.709991,336.619995,332.630005,336.450012,335.264557,20346800
61,2021-02-16,337.269989,338.190002,334.339996,335.540009,334.357788,27080800
62,2021-02-17,332.470001,335.660004,330.170013,333.929993,332.753418,31360300
63,2021-02-18,330.230011,333.869995,328.359985,332.470001,331.298584,32236200
64,2021-02-19,333.859985,333.98999,329.970001,331.019989,329.853668,39157700
65,2021-02-22,326.5,327.799988,322.230011,322.440002,321.303925,47256900
66,2021-02-23,317,323.200012,311,321.480011,320.34729,97241900
67,2021-02-24,318.73999,324.450012,315.959991,324.130005,322.987976,58206300
68,2021-02-25,321.390015,324.029999,311.23999,312.829987,311.727753,110182600
69,2021-02-26,315.850006,319.109985,310.880005,314.140015,313.033173,104739800
70,2021-03-01,319.269989,323.940002,317.940002,323.589996,322.44986,49164500
71,2021-03-02,324.25,324.329987,318.140015,318.399994,317.278168,48370000
72,2021-03-03,317.269989,318.23999,309.100006,309.160004,308.070709,86301100
73,2021-03-04,308.779999,312.040009,300.109985,304.100006,303.028534,139131600
74,2021-03-05,306.799988,309.609985,297.450012,308.679993,307.592377,121523700
75,2021-03-08,308.119995,310.059998,299.51001,299.940002,298.883209,88409800
76,2021-03-09,307.470001,313.730011,306.920013,311.769989,310.671509,80391100
77,2021-03-10,316.160004,316.470001,310.170013,310.880005,309.784668,76798100
78,2021-03-11,315.769989,319.859985,314.850006,318.040009,316.919434,53484800
79,2021-03-12,313.859985,318.230011,311.390015,315.459991,314.348511,69315600
80,2021-03-15,315.790009,319,314.100006,318.829987,317.706635,42955700
81,2021-03-16,321.089996,324.200012,319.100006,320.579987,319.4505,54925900
82,2021-03-17,317.450012,323.850006,315.679993,321.899994,320.765808,78258700
83,2021-03-18,316.869995,317.880005,311.570007,312.040009,310.940582,82718100
84,2021-03-19,311.869995,314.730011,309.660004,313.140015,312.036713,78446200
85,2021-03-22,315.209991,320.73999,315.209991,318.609985,317.888367,56194800
86,2021-03-23,319.730011,321.089996,316.380005,317.220001,316.501556,53455400
87,2021-03-24,318.630005,318.670013,311.720001,311.869995,311.163666,64803700
88,2021-03-25,309.970001,312.890015,307.390015,311.329987,310.624878,78729000
89,2021-03-26,311.109985,316.329987,309.670013,316,315.284302,63519600
90,2021-03-29,315.450012,316.98999,312.470001,315.910004,315.194519,54608000
91,2021-03-30,313.890015,314.910004,311.540009,314.320007,313.608124,44635700
92,2021-03-31,316.160004,320.73999,315.809998,319.130005,318.407227,55032500
93,2021-04-01,323.070007,324.709991,322.809998,324.570007,323.8349,55685600
94,2021-04-05,327.130005,331.839996,326.880005,331.049988,330.300201,42172500
95,2021-04-06,330.730011,332.829987,330.019989,330.820007,330.07077,33537200
