1.24375	1.298125	1.243438	1.279583	1.276385	1.243438	1.298125	4.40%	2010-05-03	13152000
1.231146	1.23125	1.138646	1.166458	1.163543	1.138646	1.23125	8.13%	2010-05-04	34310400
1.129896	1.167813	1.108333	1.147292	1.144425	1.108333	1.167813	5.37%	2010-05-05	34627200
1.123646	1.156042	0.708333	1.034896	1.03231	0.708333	1.156042	63.21%	2010-05-06	54451200
1.0075	1.045104	0.892813	0.959583	0.957185	0.892813	1.045104	17.06%	2010-05-07	62064000
1.080729	1.105938	1.074792	1.102708	1.099952	1.074792	1.105938	2.90%	2010-05-10	47318400
1.071563	1.145833	1.065313	1.101979	1.099225	1.065313	1.145833	7.56%	2010-05-11	36758400
1.117083	1.16375	1.112917	1.161354	1.158452	1.112917	1.16375	4.57%	2010-05-12	27139200
1.150208	1.174375	1.101875	1.108854	1.106083	1.101875	1.174375	6.58%	2010-05-13	26390400
1.081667	1.083125	1.005208	1.040625	1.038024	1.005208	1.083125	7.75%	2010-05-14	38544000
1.050729	1.066354	0.9875	1.054688	1.052052	0.9875	1.066354	7.99%	2010-05-17	34214400
1.080417	1.086458	0.995833	1.014375	1.01184	0.995833	1.086458	9.10%	2010-05-18	47654400
0.996875	1.020833	0.952396	0.987604	0.985136	0.952396	1.020833	7.19%	2010-05-19	59443200
0.927813	0.934479	0.869271	0.887708	0.88549	0.869271	0.934479	7.50%	2010-05-20	68246400
0.833646	0.922188	0.824792	0.894583	0.892347	0.824792	0.922188	11.81%	2010-05-21	58579200
0.899479	0.932813	0.891563	0.901979	0.899725	0.891563	0.932813	4.63%	2010-05-24	38755200
0.835	0.898438	0.808333	0.895625	0.893387	0.808333	0.898438	11.15%	2010-05-25	43161600
0.909479	0.946875	0.86125	0.867917	0.865748	0.86125	0.946875	9.94%	2010-05-26	52080000
0.925729	0.964271	0.918229	0.961875	0.959471	0.918229	0.964271	5.01%	2010-05-27	43305600
0.968229	0.970938	0.921875	0.948438	0.946068	0.921875	0.970938	5.32%	2010-05-28	41673600
0.938438	0.986875	0.916667	0.922188	0.919883	0.916667	0.986875	7.66%	2010-06-01	50678400
0.9375	0.987083	0.9175	0.987083	0.984616	0.9175	0.987083	7.58%	2010-06-02	28358400
0.994375	1.018333	0.975625	1.012708	1.010177	0.975625	1.018333	4.38%	2010-06-03	28713600
0.949167	0.986979	0.899375	0.912708	0.910427	0.899375	0.986979	9.74%	2010-06-04	61488000
0.921563	0.931667	0.858333	0.859792	0.857643	0.857643	0.931667	8.63%	2010-06-07	42182400
0.865938	0.871667	0.820938	0.855	0.852863	0.820938	0.871667	6.18%	2010-06-08	66480000
0.872292	0.896771	0.826563	0.836146	0.834056	0.826563	0.896771	8.49%	2010-06-09	57360000
0.865313	0.907292	0.858229	0.905521	0.903258	0.858229	0.907292	5.72%	2010-06-10	38880000
0.877396	0.932813	0.877396	0.929167	0.926845	0.877396	0.932813	6.32%	2010-06-11	31334400
0.956771	0.975104	0.925938	0.929688	0.927365	0.925938	0.975104	5.31%	2010-06-14	56851200
0.945104	1.008438	0.942292	0.997604	0.995111	0.942292	1.008438	7.02%	2010-06-15	50025600
0.996771	1.03125	0.991875	1.017708	1.015164	0.991875	1.03125	3.97%	2010-06-16	39590400
1.033646	1.035208	1.001458	1.027917	1.025348	1.001458	1.035208	3.37%	2010-06-17	40761600
1.033229	1.051458	1.020417	1.030729	1.028153	1.020417	1.051458	3.04%	2010-06-18	34896000
1.068333	1.072917	0.986667	1.003646	1.001138	0.986667	1.072917	8.74%	2010-06-21	54979200
1.015208	1.037292	0.974792	0.979896	0.977447	0.974792	1.037292	6.41%	2010-06-22	44899200
0.983542	0.993646	0.944792	0.966771	0.964355	0.944792	0.993646	5.17%	2010-06-23	56179200
0.955208	0.963542	0.914583	0.919896	0.917597	0.914583	0.963542	5.35%	2010-06-24	59856000
0.931875	0.942292	0.899688	0.919271	0.916974	0.899688	0.942292	4.74%	2010-06-25	44390400
0.92	0.93375	0.89125	0.911042	0.908765	0.89125	0.93375	4.77%	2010-06-28	41040000
0.868229	0.869792	0.785417	0.809375	0.807352	0.785417	0.869792	10.74%	2010-06-29	109555200
0.797292	0.820104	0.763021	0.769375	0.767452	0.763021	0.820104	7.48%	2010-06-30	45916800
0.773646	0.780104	0.717292	0.761875	0.759971	0.717292	0.780104	8.76%	2010-07-01	63081600
0.763854	0.772708	0.734375	0.757708	0.755814	0.734375	0.772708	5.22%	2010-07-02	36844800
0.786667	0.801146	0.7425	0.761667	0.759764	0.7425	0.801146	7.90%	2010-07-06	39139200
0.768229	0.835938	0.766354	0.833646	0.831563	0.766354	0.835938	9.08%	2010-07-07	40195200
0.853646	0.856979	0.818333	0.847708	0.845589	0.818333	0.856979	4.72%	2010-07-08	51840000
0.845521	0.875	0.841042	0.871458	0.86928	0.841042	0.875	4.04%	2010-07-09	35664000
0.868229	0.894479	0.862917	0.881354	0.879151	0.862917	0.894479	3.66%	2010-07-12	24729600
0.901979	0.923125	0.8825	0.911458	0.90918	0.8825	0.923125	4.60%	2010-07-13	43536000
0.919271	0.941563	0.907396	0.926042	0.923728	0.907396	0.941563	3.77%	2010-07-14	27379200
0.922188	0.937396	0.892188	0.929271	0.926949	0.892188	0.937396	5.07%	2010-07-15	28550400
0.921146	0.922292	0.850417	0.854479	0.852344	0.850417	0.922292	8.45%	2010-07-16	45340800
0.859375	0.879167	0.838646	0.87375	0.871566	0.838646	0.879167	4.83%	2010-07-19	31056000
0.830417	0.905	0.82375	0.901354	0.899101	0.82375	0.905	9.86%	2010-07-20	31987200
0.935417	0.935417	0.863958	0.869792	0.867618	0.863958	0.935417	8.27%	2010-07-21	43123200
0.90375	0.946354	0.90375	0.928438	0.926118	0.90375	0.946354	4.71%	2010-07-22	31612800
0.915417	0.95375	0.910313	0.952604	0.950223	0.910313	0.95375	4.77%	2010-07-23	34713600
0.956771	0.97625	0.943438	0.973542	0.971109	0.943438	0.97625	3.48%	2010-07-26	25190400
0.987917	0.992292	0.961146	0.973333	0.970901	0.961146	0.992292	3.24%	2010-07-27	29923200
0.971354	0.983542	0.940625	0.953438	0.951055	0.940625	0.983542	4.56%	2010-07-28	19392000
0.966667	0.972917	0.90125	0.930729	0.928403	0.90125	0.972917	7.95%	2010-07-29	38188800
0.907083	0.9525	0.890729	0.937083	0.934741	0.890729	0.9525	6.93%	2010-07-30	32457600
0.971771	0.994792	0.961042	0.9875	0.985032	0.961042	0.994792	3.51%	2010-08-02	22540800
0.985625	0.98875	0.961875	0.977292	0.97485	0.961875	0.98875	2.79%	2010-08-03	16003200
0.990104	1.008333	0.977292	1.005521	1.003008	0.977292	1.008333	3.18%	2010-08-04	20227200
0.990417	1.003125	0.978542	0.999583	0.997085	0.978542	1.003125	2.51%	2010-08-05	16617600
0.963646	0.999167	0.949271	0.994896	0.99241	0.949271	0.999167	5.26%	2010-08-06	38188800
1.008542	1.020833	0.995625	1.012292	1.009762	0.995625	1.020833	2.53%	2010-08-09	21408000
0.989583	1.004688	0.96375	0.990833	0.988357	0.96375	1.004688	4.25%	2010-08-10	39504000
0.938229	0.938854	0.894896	0.909271	0.906999	0.894896	0.938854	4.91%	2010-08-11	38726400
0.854792	0.896146	0.849688	0.883646	0.881438	0.849688	0.896146	5.47%	2010-08-12	36480000
0.876354	0.886354	0.866042	0.866042	0.863878	0.863878	0.886354	2.60%	2010-08-13	14486400
0.853125	0.888438	0.842188	0.870938	0.868761	0.842188	0.888438	5.49%	2010-08-16	23856000
0.890417	0.927396	0.885208	0.904063	0.901804	0.885208	0.927396	4.77%	2010-08-17	30019200
0.899479	0.930521	0.889167	0.912188	0.909908	0.889167	0.930521	4.65%	2010-08-18	17788800
0.899271	0.908542	0.855208	0.878646	0.87645	0.855208	0.908542	6.24%	2010-08-19	25603200
0.869792	0.882292	0.854271	0.875625	0.873437	0.854271	0.882292	3.28%	2010-08-20	22147200
0.895208	0.900521	0.850208	0.851458	0.84933	0.84933	0.900521	6.03%	2010-08-23	27052800
0.823646	0.829792	0.792708	0.802604	0.800598	0.792708	0.829792	4.68%	2010-08-24	36201600
0.786979	0.836563	0.783125	0.826667	0.824601	0.783125	0.836563	6.82%	2010-08-25	36038400
0.837292	0.838646	0.794271	0.799688	0.797689	0.794271	0.838646	5.59%	2010-08-26	33244800
0.813646	0.829688	0.764583	0.826146	0.824081	0.764583	0.829688	8.52%	2010-08-27	48115200
0.813438	0.835208	0.799167	0.799375	0.797377	0.797377	0.835208	4.74%	2010-08-30	26284800
0.7875	0.812188	0.776146	0.795417	0.793429	0.776146	0.812188	4.64%	2010-08-31	39110400
0.826042	0.870104	0.824896	0.862083	0.859929	0.824896	0.870104	5.48%	2010-09-01	32409600
0.867396	0.891667	0.860833	0.891667	0.889439	0.860833	0.891667	3.58%	2010-09-02	13574400
0.91875	0.937083	0.909271	0.937083	0.934741	0.909271	0.937083	3.06%	2010-09-03	33820800
0.924479	0.935625	0.912292	0.914271	0.911986	0.911986	0.935625	2.59%	2010-09-07	24345600
0.924479	0.961771	0.924479	0.946563	0.944197	0.924479	0.961771	4.03%	2010-09-08	28473600
0.976042	0.977604	0.954583	0.958542	0.956146	0.954583	0.977604	2.41%	2010-09-09	22588800
0.965521	0.974063	0.949792	0.968854	0.966433	0.949792	0.974063	2.56%	2010-09-10	15984000
0.994167	1.018854	0.993229	1.011563	1.009035	0.993229	1.018854	2.58%	2010-09-13	20928000
1.007292	1.04	1.001458	1.024375	1.021815	1.001458	1.04	3.85%	2010-09-14	21187200
1.01625	1.046875	1.008021	1.041771	1.039168	1.008021	1.046875	3.85%	2010-09-15	16915200
1.041146	1.058229	1.030104	1.056458	1.053818	1.030104	1.058229	2.73%	2010-09-16	23443200
1.078021	1.078021	1.051563	1.067708	1.06504	1.051563	1.078021	2.52%	2010-09-17	28704000
1.079688	1.129063	1.075938	1.123333	1.120526	1.075938	1.129063	4.94%	2010-09-20	26390400
1.124271	1.145833	1.107917	1.119792	1.116994	1.107917	1.145833	3.42%	2010-09-21	43468800
1.107292	1.136354	1.095833	1.114479	1.111694	1.095833	1.136354	3.70%	2010-09-22	24144000
1.091667	1.144792	1.088333	1.111146	1.108369	1.088333	1.144792	5.19%	2010-09-23	34272000
1.150833	1.18125	1.145313	1.174063	1.171129	1.145313	1.18125	3.14%	2010-09-24	31632000
1.179479	1.185625	1.157396	1.160625	1.157724	1.157396	1.185625	2.44%	2010-09-27	24278400
1.171563	1.171563	1.105	1.163542	1.160634	1.105	1.171563	6.02%	2010-09-28	36556800
1.154375	1.170104	1.141146	1.154167	1.151283	1.141146	1.170104	2.54%	2010-09-29	15964800
1.171667	1.192292	1.115938	1.138542	1.135697	1.115938	1.192292	6.84%	2010-09-30	44371200
1.165208	1.169896	1.118229	1.135	1.132164	1.118229	1.169896	4.62%	2010-10-01	29260800
1.123646	1.135208	1.077917	1.095625	1.092887	1.077917	1.135208	5.31%	2010-10-04	30960000
1.134479	1.182813	1.132604	1.177188	1.174246	1.132604	1.182813	4.43%	2010-10-05	27446400
1.172292	1.179688	1.124063	1.147188	1.144321	1.124063	1.179688	4.95%	2010-10-06	22128000
